Latitude,Longitude,Speed
44.95550287694379,-93.16583652036665,null
44.95550287694379,-93.16583652036665,null
44.95550287694379,-93.16583652036665,null
44.95537934994501,-93.16565147534875,null
44.95545119873757,-93.16562630377204,null
44.955516234082125,-93.1651911233488,null
44.95559741281434,-93.16525113777551,4.35446310043335
44.95559389241501,-93.16517980777952,4.46790075302124
44.95559062347277,-93.16510596321258,4.556046009063721
44.95558081664606,-93.16502113835249,4.633479118347168
44.955585049507164,-93.16494335429105,4.717221736907959
44.955590204377614,-93.1648787298176,4.854358196258545
44.95559234176292,-93.16480396324131,4.9965643882751465
44.95559024628713,-93.16470438623163,5.187791347503662
44.955589785282456,-93.16460212701294,5.403316497802734
44.95559246749147,-93.16450112507972,5.669516086578369
44.95560403451785,-93.16442459830377,6.447274208068848
44.95561212305441,-93.1643348281208,6.761085510253906
44.955596220430806,-93.16420516712266,7.090073108673096
44.95559646789554,-93.16409547944232,7.553219795227051
44.95559683085307,-93.16400163249618,7.569501876831055
44.95559733178059,-93.16389613852992,7.521509647369385
44.95559833271927,-93.16368532893806,7.400108814239502
44.95559842911642,-93.16366505987557,7.760336875915527
44.95559842912164,-93.16366505987563,7.769652366638184
44.95559820364158,-93.16337540910529,7.705265522003174
44.95559813737572,-93.16329507552102,7.578892707824707
44.95559805304261,-93.16319230872242,7.27960205078125
44.955597913101776,-93.16302281288873,6.991453170776367
44.95559780977981,-93.16289745023084,6.777458667755127
44.955493445035664,-93.16289097550298,null
44.955476031493504,-93.16298099715715,null
44.955476031493504,-93.16298099715715,null
44.955610644676796,-93.16193147547862,null
44.9555794250774,-93.16183067662672,null
44.95549805502443,-93.16164825724721,null
44.9555088787976,-93.16162826285871,null
44.955497016215226,-93.16159940696829,null
44.95551950278609,-93.16164057323358,null
44.95552868734946,-93.16179354665111,null
44.955551819880135,-93.16181118923225,null
44.95548243682615,-93.16159578937561,null
44.95552301080242,-93.161555895556,null
44.95530595844449,-93.16103152247527,null
44.95545106673959,-93.16017117734114,null
44.955577171536696,-93.15970128827732,null
44.9550660243934,-93.15880374427647,null
44.95537154135064,-93.15754689891413,null
44.95541184717031,-93.15760151224737,null
44.9557551500899,-93.15658551283121,null
44.95566659150822,-93.15518222516629,null
44.95512827107035,-93.15518125019774,null
44.95457148225661,-93.15437522751124,null
44.954076918907596,-93.15458913540738,null
44.95461802964467,-93.15527258622832,null
44.95450275796722,-93.1548564914372,null
44.95397808452732,-93.15423363905381,null
44.95368245117991,-93.15366372319924,null
44.95306636582524,-93.1537725101162,null
44.95330772346984,-93.15415076744996,null
44.953376479547615,-93.15426536410342,null
44.95425675421729,-93.15410465183005,null
44.95423343982779,-93.15441314333903,null
