latitude,longitude,speed
44.97164113374408,-93.22603117594028,null
44.970755674488196,-93.22724752013079,null
44.97056296662597,-93.22741652581242,null
44.970310951582846,-93.22823978807367,null
44.970353857657514,-93.22857893788672,null
44.97033157136576,-93.22929260317713,null
44.97031092041703,-93.22948180130005,null
44.97078982773697,-93.22977061359559,null
44.97079210227582,-93.2300373229378,null
44.97066187962976,-93.23072340673453,null
44.970637696171195,-93.23082849149336,null
44.97061209833892,-93.23115716464048,null
44.97065590886093,-93.23135383862551,null
44.97064820878023,-93.2323539234897,null
44.97086918234444,-93.23342090901721,null
44.97109163006327,-93.23397162366507,null
44.971402783698565,-93.23475284057531,null
44.97145251204917,-93.23490620865317,null
44.97074856167516,-93.23537406440087,null
44.97130861355542,-93.23576906985043,null
44.97148337492831,-93.23529948769945,null
44.97148640535734,-93.23512658273042,null
44.97145798184959,-93.23499963349731,null
44.97137398796383,-93.23476791979108,null
44.97120275163097,-93.23547723497876,null
44.97120275163097,-93.23547723497876,null
44.97120275163097,-93.23547723497876,null
44.97120275163097,-93.23547723497876,null
44.971176781532144,-93.23421894958148,null
44.971176781532144,-93.23421894958148,null
44.9713876176197,-93.23475653296109,null
44.971459546190026,-93.23493803622169,null
44.97157422007192,-93.23583534211063,null
44.97157422007192,-93.23583534211063,null
44.97139523802692,-93.23493679862173,null
44.97139356347721,-93.23472603615485,null
44.97111174464535,-93.2340315668951,null
44.97092386147893,-93.23347129972129,null
44.970773662854036,-93.23223983525726,null
44.97061350123186,-93.23104237428753,null
44.97059442904179,-93.2309015909956,null
44.97101256188639,-93.23031525746403,null
44.97179863539422,-93.23000338163439,null
44.97175606879312,-93.23004065856348,null
44.972141932047094,-93.22994115725577,null
44.972446609936306,-93.22999332981988,null
44.97285075286237,-93.22953956411718,null
44.97291038407913,-93.22954938434505,null
44.97288234425512,-93.22957184833611,null
44.97274009156431,-93.22962110379216,null
44.972657267625664,-93.22933524397044,null
44.97266962896576,-93.22908358881485,null
44.97269802911215,-93.2283914380081,null
44.972623840512746,-93.22814142171983,null
44.972612667435016,-93.22774753113268,null
